Наименование,Ключевые слова
Философия_С++.pdf,"C++,Функции,Массивы"
Eclipse.pdf,"Eclipse, Java, гибкая разработка"
Элджер_С++.pdf,"C++,Указатели,Шаблоны,Память,Массивы"
Среда разработки Java-приложений Eclipse.pdf,"Eclipse, cреда разработки, Java"
Керниган_Язык C.pdf,"C,Операторы,Функции,Указатели,Массивы"
Начинаем программировать на языке Java.pdf,"Java, Классы, Модификаторы доступа, Интерфейсы, Контейнеры, События"
Основы_программирования_в_Microsoft_Visual_C++_2010.pdf,"C++,Visual Studio,Базы данных"
Компонентная объектная модель JavaBeans.pdf,"Java,JavaBeans,Интерфейсы,События,Компоненты,Контейнеры"
Объектно-ориентированное_программирование_в_C++.pdf,"C++,Visual Studio,Функции,Классы,Массивы"
Разработка Web-приложений при помощи JavaServer Faces.pdf,"Java,Web-приложение,MVC,Web"
Swift_для_детей.pdf,"Swift,XCode,iOS,Функции,Классы,Массивы"
Шаблоны проектирования Java 101.pdf,
CLR_via_C#.pdf,"C#,Массивы,События,Память"
Java. Библиотека профессионала. Том 1. 9-е издание.pdf,"Java, Объекты, классы, Наследование, Интерфейсы, События, Коллекции, Обобщенное программирование"
C#_Введение_в_программирование.pdf,"C#,Visual Studio,Классы,Функции,Потоки"
Java. Библиотека профессионала. Том 2. 9-е издание.pdf,"Java, XML, Базы данных, Интернационализация, Swift, AWT, JavaBeans, Распределенные объекты"
Qt_5.10_Профессиональное_программирование_на_C++.pdf,"C++,Qt,События,Графика,Базы данных,Интерфейсы"
Шилдт Г. - Java 8. Полное руководство - 2015.pdf,"Java, Переменные, Операторы, Классы, Интерфейсы, Наследование, Лямбда-выражения,Библиотеки Java, API, Swift, Swing, JavaFX"
Язык_программирования_C++.pdf,"C++,Функции,Шаблоны,Потоки"
Философия Java.pdf,"Java, Абстракция, Интерфейсы, Иерархия, Объекты, Типы данных"
,
Java SE8 Вводный курс Хорстманн 2014.pdf,"Java, Лямбда-выражения, API, JavaFX, Параллелизм, Nashorn, JavaScript"
,
Learning Python.pdf,"Python, GUI, Базы данных, Разработка игр, Веб-разработка, Организация кода, Базовая математика, Переменные, Строки и текст"
,
Learn Python the Hard Way.pdf,"Python,Установка окружения, Организация кода, Базовая математика, Переменные, Строки и текст, Взаимодействие с пользователями, Работа с файлами, Циклы и логика, Структуры данных, Разработка программ, ООП, Наследование и композиция, Модули, классы и объекты, Пакеты, Отладка, Автоматизация тестирования, Разработка игр, Веб-разработка."
,
Python Pocket Reference.pdf,"Python,Встроенные типы объектов, Cинтаксис, Функции, Модули,ООП, Исключения, Атрибуты, Перегрузка, Расширения, Инструменты, Python SQL Database API"
,
Python Cookbook.pdf,"Python, Структуры данных, Алгоритмы, Строки, Текст, Числа, Итератор, Генератор, Файлы, Функции, Классы, Объекты, Метапрограммирование, Модули, Пакеты, Веб-программирование, Конкурентность, Тестирование, Отладка, Си-расширения"
,
Think Complexity.pdf,"Python, NumPy, SciPy, Cигналы, Быстрые преобразования Фурье, Хеш-таблицы; Абстрактные модели, Фракталы, Машина Тьюринга"
,
Python for Data Analysis.pdf,"Python, IPython, NumPy, pandas, matplotlib"
,
Automate the Boring Stuff with Python.pdf,"Python, Поиск текста, Файлы, Excel, PDF, Уведомления, Онлайн-формы"
,
Eloquent JavaScript.pdf,"JavaScript, Типы данных, Операторы, Стуктуры, Функции, Объекты, Массивы, Абстракции, Классы, Отладка, Паттерны,  Регулярные выражения, Модули, Web, HTML, События"
,
The Modern JavaScript Tutorial.pdf,"JavaScript, Типы данных, Операторы, Стуктуры, Функции, JSON, Строки, Массивы, Классы, Прототипы, API, Модули, jQuery, Node.JS"
,
